nbItems: 90
nbOrderSize: 3
nbOrders: 3000
nbShelves: 96

Orders: [
7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 27 26 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 27 26 2 1 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 2 1 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21
8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 27 26 25 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 27 26 25 3 2 1 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 3 2 1 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20
9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 27 26 25 24 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 27 26 25 24 4 3 2 1 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 4 3 2 1 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19
10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 27 26 25 24 23 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 27 26 25 24 23 5 4 3 2 1 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 5 4 3 2 1 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18
11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 27 26 25 24 23 22 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 27 26 25 24 23 22 6 5 4 3 2 1 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 6 5 4 3 2 1 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17
12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 27 26 25 24 23 22 21 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 27 26 25 24 23 22 21 7 6 5 4 3 2 1 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 7 6 5 4 3 2 1 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16
13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 27 26 25 24 23 22 21 20 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 27 26 25 24 23 22 21 20 8 7 6 5 4 3 2 1 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 8 7 6 5 4 3 2 1 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15
14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 27 26 25 24 23 22 21 20 19 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 27 26 25 24 23 22 21 20 19 9 8 7 6 5 4 3 2 1 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 9 8 7 6 5 4 3 2 1 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14
15 16 17 18 19 20 21 22 23 24 25 26 27 28 27 26 25 24 23 22 21 20 19 18 15 16 17 18 19 20 21 22 23 24 25 26 27 28 27 26 25 24 23 22 21 20 19 18 10 9 8 7 6 5 4 3 2 1 0 1 2 3 4 5 6 7 8 9 10 11 12 13 10 9 8 7 6 5 4 3 2 1 0 1 2 3 4 5 6 7 8 9 10 11 12 13
16 17 18 19 20 21 22 23 24 25 26 27 28 27 26 25 24 23 22 21 20 19 18 17 16 17 18 19 20 21 22 23 24 25 26 27 28 27 26 25 24 23 22 21 20 19 18 17 11 10 9 8 7 6 5 4 3 2 1 0 1 2 3 4 5 6 7 8 9 10 11 12 11 10 9 8 7 6 5 4 3 2 1 0 1 2 3 4 5 6 7 8 9 10 11 12
17 18 19 20 21 22 23 24 25 26 27 28 27 26 25 24 23 22 21 20 19 18 17 16 17 18 19 20 21 22 23 24 25 26 27 28 27 26 25 24 23 22 21 20 19 18 17 16 12 11 10 9 8 7 6 5 4 3 2 1 0 1 2 3 4 5 6 7 8 9 10 11 12 11 10 9 8 7 6 5 4 3 2 1 0 1 2 3 4 5 6 7 8 9 10 11
18 19 20 21 22 23 24 25 26 27 28 27 26 25 24 23 22 21 20 19 18 17 16 15 18 19 20 21 22 23 24 25 26 27 28 27 26 25 24 23 22 21 20 19 18 17 16 15 13 12 11 10 9 8 7 6 5 4 3 2 1 0 1 2 3 4 5 6 7 8 9 10 13 12 11 10 9 8 7 6 5 4 3 2 1 0 1 2 3 4 5 6 7 8 9 10
19 20 21 22 23 24 25 26 27 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 19 20 21 22 23 24 25 26 27 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 1 2 3 4 5 6 7 8 9 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 1 2 3 4 5 6 7 8 9
20 21 22 23 24 25 26 27 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 20 21 22 23 24 25 26 27 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 1 2 3 4 5 6 7 8 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 1 2 3 4 5 6 7 8
21 22 23 24 25 26 27 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 21 22 23 24 25 26 27 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 1 2 3 4 5 6 7 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 1 2 3 4 5 6 7
22 23 24 25 26 27 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 22 23 24 25 26 27 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 1 2 3 4 5 6 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 1 2 3 4 5 6
23 24 25 26 27 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 23 24 25 26 27 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 1 2 3 4 5 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 1 2 3 4 5
24 25 26 27 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 24 25 26 27 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 1 2 3 4 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 1 2 3 4
25 26 27 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 25 26 27 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 1 2 3 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 1 2 3
26 27 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 26 27 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 1 2 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 1 2
27 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 27 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 1 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 1
28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0
5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 27 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 27 1 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 1 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22
7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 27 26 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 27 26 2 1 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 2 1 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21
8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 27 26 25 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 27 26 25 3 2 1 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 3 2 1 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20
9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 27 26 25 24 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 27 26 25 24 4 3 2 1 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 4 3 2 1 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19
10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 27 26 25 24 23 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 27 26 25 24 23 5 4 3 2 1 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 5 4 3 2 1 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18
11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 27 26 25 24 23 22 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 27 26 25 24 23 22 6 5 4 3 2 1 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 6 5 4 3 2 1 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17
12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 27 26 25 24 23 22 21 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 27 26 25 24 23 22 21 7 6 5 4 3 2 1 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 7 6 5 4 3 2 1 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16
13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 27 26 25 24 23 22 21 20 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 27 26 25 24 23 22 21 20 8 7 6 5 4 3 2 1 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 8 7 6 5 4 3 2 1 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15
14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 27 26 25 24 23 22 21 20 19 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 27 26 25 24 23 22 21 20 19 9 8 7 6 5 4 3 2 1 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 9 8 7 6 5 4 3 2 1 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14
15 16 17 18 19 20 21 22 23 24 25 26 27 28 27 26 25 24 23 22 21 20 19 18 15 16 17 18 19 20 21 22 23 24 25 26 27 28 27 26 25 24 23 22 21 20 19 18 10 9 8 7 6 5 4 3 2 1 0 1 2 3 4 5 6 7 8 9 10 11 12 13 10 9 8 7 6 5 4 3 2 1 0 1 2 3 4 5 6 7 8 9 10 11 12 13
16 17 18 19 20 21 22 23 24 25 26 27 28 27 26 25 24 23 22 21 20 19 18 17 16 17 18 19 20 21 22 23 24 25 26 27 28 27 26 25 24 23 22 21 20 19 18 17 11 10 9 8 7 6 5 4 3 2 1 0 1 2 3 4 5 6 7 8 9 10 11 12 11 10 9 8 7 6 5 4 3 2 1 0 1 2 3 4 5 6 7 8 9 10 11 12
17 18 19 20 21 22 23 24 25 26 27 28 27 26 25 24 23 22 21 20 19 18 17 16 17 18 19 20 21 22 23 24 25 26 27 28 27 26 25 24 23 22 21 20 19 18 17 16 12 11 10 9 8 7 6 5 4 3 2 1 0 1 2 3 4 5 6 7 8 9 10 11 12 11 10 9 8 7 6 5 4 3 2 1 0 1 2 3 4 5 6 7 8 9 10 11
18 19 20 21 22 23 24 25 26 27 28 27 26 25 24 23 22 21 20 19 18 17 16 15 18 19 20 21 22 23 24 25 26 27 28 27 26 25 24 23 22 21 20 19 18 17 16 15 13 12 11 10 9 8 7 6 5 4 3 2 1 0 1 2 3 4 5 6 7 8 9 10 13 12 11 10 9 8 7 6 5 4 3 2 1 0 1 2 3 4 5 6 7 8 9 10
19 20 21 22 23 24 25 26 27 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 19 20 21 22 23 24 25 26 27 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 1 2 3 4 5 6 7 8 9 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 1 2 3 4 5 6 7 8 9
20 21 22 23 24 25 26 27 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 20 21 22 23 24 25 26 27 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 1 2 3 4 5 6 7 8 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 1 2 3 4 5 6 7 8
21 22 23 24 25 26 27 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 21 22 23 24 25 26 27 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 1 2 3 4 5 6 7 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 1 2 3 4 5 6 7
22 23 24 25 26 27 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 22 23 24 25 26 27 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 1 2 3 4 5 6 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 1 2 3 4 5 6
23 24 25 26 27 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 23 24 25 26 27 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 1 2 3 4 5 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 1 2 3 4 5
24 25 26 27 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 24 25 26 27 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 1 2 3 4 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 1 2 3 4
25 26 27 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 25 26 27 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 1 2 3 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 1 2 3
26 27 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 26 27 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 1 2 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 1 2
27 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 27 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 1 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 1
28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0
]

DistancePackagingShelf: [
2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26
]
